,#500 PURPLE,PURPLE SHUTTLE,#502,#504,#102,#506,#508,#510,#512,#514,#516,#518,#520
Belen,,,,3:55A,5:39A,6:35A,8:04A,,3:40P,,5:51P,7:01P,7:57P
Los Lunas,,,,4:15A,5:49A,6:46A,8:15A,,3:51P,,6:01P,7:12P,8:08P
Isleta Pueblo,,,,4:35A,6:02A,6:59A,8:27A,,4:04P,,6:16P,7:26P,8:22P
Bernalillo County,,,,4:45A,6:10A,7:06A,8:35A,,4:11P,,6:29P,7:35P,8:31P
Downtown ABQ,4:00A,,4:32A,5:02A,6:22A,7:19A,8:42A,9:35A,4:26P,5:34P,6:48P,7:42P,8:38P
Los Ranchos / JC,4:18A,,4:47A,5:17A,6:34A,7:36A,,9:50A,4:41P,5:49P,7:06P,,
Sandia Pueblo,,,4:52A,5:22A,,7:42A,,9:55A,4:46P,5:54P,7:12P,,
Downtown Bernalillo,,,5:01A,5:31A,,7:52A,,10:03A,4:54P,6:07P,7:26P,,
Sandoval/ US 550,4:36A,,5:05A,5:35A,6:46A,7:58A,,10:08A,4:59P,6:12P,7:31P,,
Kewa,,,5:25A,5:55A,7:05A,8:18A,,10:28A,5:19P,6:34P,7:50P,,
SF County / NM 599,5:11A,5:11A,5:48A,6:18A,7:24A,8:39A,,10:51A,5:43P,6:57P,8:13P,,
South Capitol,,5:28A,6:08A,6:38A,7:40A,8:54A,,11:11A,5:58P,7:17P,8:33P,,
Santa Fe Depot,,5:33A,6:13A,6:43A,7:45A,8:59A,,11:16A,6:03P,7:22P,8:38P,,
,#501,#503,#505-A,#505-B,#507,#509,#511,#513,#515,#101,#517,#519,#521
Santa Fe Depot,,,,,5:39A,7:13A,1:02P,,4:15P,5:04P,5:30P,6:46P,9:00P
South Capitol,,,,,5:43a,7:18A,1:07P,,4:20P,5:09P,5:35P,6:51P,9:05P
SF County / NM 599,,,,,6:01A,7:37A,1:26P,,4:39P,5:26P,5:54P,7:10P,9:24P
Kewa,,,,,6:19A,7:55A,1:44P,,4:57P,,6:12P,7:28P,9:42P
Sandoval/ US 550,,,5:51A,,6:38A,8:14A,2:03P,,5:16P,6:02P,6:31P,7:47P,10:01P
Downtown Bernalillo,,,,,6:43A,8:18A,2:07P,,5:20P,,6:35P,7:51P,10:05P
Sandia Pueblo,,,,,6:52A,8:27A,2:16P,,5:29P,,6:44P,8:00P,10:14P
Los Ranchos / JC,,,,6:04A,6:57A,8:32A,2:21P,,5:34P,6:14P,6:49P,8:05P,10:19P
Downtown ABQ,4:45A,5:30A,6:20A,6:25A,7:10A,8:45A,2:37P,4:30P,5:50P,6:25P,7:02P,8:18P,10:32P
Bernalillo County,4:53A,5:41A,,6:37A,7:19A,,2:45P,4:38P,5:57P,,7:09P,,
Isleta Pueblo,5:01A,5:49A,,6:49A,7:27A,,2:52P,4:45P,6:06P,,7:17P,,
Los Lunas,5:13A,6:06A,,7:09A,7:39A,,3:05P,4:58P,6:22P,,7:31P,,
Belen,5:24A,6:17A,,7:27A,7:50A,,3:15P,5:08P,6:33P,,7:42P,,
,#702,#704,#706,#708,#710,,,,,,,,
Belen,8:28A,1:08P,5:50P,7:41P,10:30P,,,,,,,,
Los Lunas,8:38A,1:18P,6:00P,7:51P,10:40P,,,,,,,,
Isleta Pueblo,8:49A,1:29P,6:11P,8:02P,10:51P,,,,,,,,
Bernalillo County,8:56A,1:36P,6:18P,8:09P,10:58P,,,,,,,,
Downtown ABQ,9:06A,1:46P,6:28P,8:19P,11:08P,,,,,,,,
Los Ranchos / JC,9:21A,2:01P,6:43P,8:34P,,,,,,,,,
Sandia Pueblo,9:26A,2:06P,6:48P,8:39P,,,,,,,,,
Downtown Bernalillo,9:34A,2:14P,6:56P,8:47P,,,,,,,,,
Sandoval/ US 550,9:37A,2:17P,6:59P,8:50P,,,,,,,,,
Kewa,9:55A,2:35P,7:17P,9:08P,,,,,,,,,
SF County / NM 599,10:13A,2:53P,7:35P,9:26P,,,,,,,,,
South Capitol,10:29A,3:09P,7:51P,9:42P,,,,,,,,,
Santa Fe Depot,10:34A,3:14P,7:56P,9:47P,,,,,,,,,
,#701,#703,#705,#707,#709,#711,,,,,,,
Santa Fe Depot,,10:48A,3:28P,,8:09P,10:01P,,,,,,,
South Capitol,,10:53A,3:33P,,8:14P,10:06P,,,,,,,
SF County / NM 599,,11:09A,3:49P,,8:30P,10:22P,,,,,,,
Kewa,,11:27A,4:07P,,8:48P,10:40P,,,,,,,
Sandoval/ US 550,,11:45A,4:25P,,9:06P,10:58P,,,,,,,
Downtown Bernalillo,,11:48A,4:28P,,9:09P,11:01P,,,,,,,
Sandia Pueblo,,11:56A,4:36P,,9:17P,11:09P,,,,,,,
Los Ranchos / JC,,12:01P,4:41P,,9:22P,11:14P,,,,,,,
Downtown ABQ,7:35A,12:16P,4:58P,6:48P,9:37P,11:29P,,,,,,,
Bernalillo County,7:45A,12:26P,5:08P,6:58P,9:47P,,,,,,,,
Isleta Pueblo,7:52A,12:33P,5:15P,7:05P,9:54P,,,,,,,,
Los Lunas,8:03A,12:44P,5:26P,7:16P,10:05P,,,,,,,,
Belen,8:13A,12:54P,5:36P,7:26P,10:15P,,,,,,,,
,#702,#704,#706,,,,,,,,,,
Belen,8:28A,1:08P,5:50P,,,,,,,,,,
Los Lunas,8:38A,1:18P,6:00P,,,,,,,,,,
Isleta Pueblo,8:49A,1:29P,6:11P,,,,,,,,,,
Bernalillo County,8:56A,1:36P,6:18P,,,,,,,,,,
Downtown ABQ,9:06A,1:46P,6:28P,,,,,,,,,,
Los Ranchos / JC,9:21A,2:01P,6:43P,,,,,,,,,,
Sandia Pueblo,9:26A,2:06P,6:48P,,,,,,,,,,
Downtown Bernalillo,9:34A,2:14P,6:56P,,,,,,,,,,
Sandoval/ US 550,9:37A,2:17P,6:59P,,,,,,,,,,
Kewa,9:55A,2:35P,7:17P,,,,,,,,,,
SF County / NM 599,10:13A,2:53P,7:35P,,,,,,,,,,
South Capitol,10:29A,3:09P,7:51P,,,,,,,,,,
Santa Fe Depot,10:34A,3:14P,7:56P,,,,,,,,,,
,#701,#703,#705,#709,,,,,,,,,
Santa Fe Depot,,10:48A,3:28P,8:09P,,,,,,,,,
South Capitol,,10:53A,3:33P,8:14P,,,,,,,,,
SF County / NM 599,,11:09A,3:49P,8:30P,,,,,,,,,
Kewa,,11:27A,4:07P,8:48P,,,,,,,,,
Sandoval/ US 550,,11:45A,4:25P,9:06P,,,,,,,,,
Downtown Bernalillo,,11:48A,4:28P,9:09P,,,,,,,,,
Sandia Pueblo,,11:56A,4:36P,9:17P,,,,,,,,,
Los Ranchos / JC,,12:01P,4:41P,9:22P,,,,,,,,,
Downtown ABQ,7:35A,12:16P,4:58P,9:37P,,,,,,,,,
Bernalillo County,7:45A,12:26P,5:08P,,,,,,,,,,
Isleta Pueblo,7:52A,12:33P,5:15P,,,,,,,,,,
Los Lunas,8:03A,12:44P,5:26P,,,,,,,,,,
Belen,8:13A,12:54P,5:36P,,,,,,,,,,
